word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
-an,æn,,"suf. 表示; “碳水化合物的酐类”：dextran; “不饱和的碳化物”：tolan; 用于专有人、地名等后构成通常可兼作名词用的形容词表示“…时期的(人)”, “…地方的(人)”, “在…居住的(人)”, “在…出生的(人)”：American, Asian, Elizabethan, Victorian; 用于表示体制、学科等的词后及宗教或其他流派创始人的人名后构成可兼作名词的形容词或单词性的形容词或名词表示“精通…的(人)”, “带有…特征的(人)”, “属于…的(人)”, “信奉…的(人)”, “追随…的(人)”",,,,,0,0,,,
-ance,əns,,"suf. 性质,状况：annoyance, importance; 表示程度,总量：conductance; 行动,行为,过程：performance, utterance",,,,,0,0,,,
-ancy,ənsi,,"suf. =-ance (尤其多表示“性质”, “状况”)：",,,,,0,0,,,
-ane,'eɪn,," [医]〔词尾〕意为饱和开链碳氢化合物, CnH2n+2",,,,,0,0,,,
-ant,ənt,,"suf. [构成形容词] 表示：进行...动作的,处于...状态的,促进...作用的：repentant, triumphant, expectorant; 有...的,显示...的,做...的：defiant, radiant; [构成名词]表示进行...动作的人,施行...作用者,...者(人或物):accountant, assistant, occupant",,,,,0,0,,,
-ar,ə,,"suf. [构成形容词]表示：...的：molecular,nuclear; ...状的,似...的：triangular; 有...特性的：popular; [构成名词]表示：...的人,...的物：bursar, scholar, vicar, morta; 动作者[-er或-or的异体]：liar, pedlar",,,,,0,0,,,
-arch,ɑ:k,," 表示“原始的”; 表示“统治者”, “首领”, “领导者”",,,,,0,0,,,
-archy,'ɑ:ki,," 表示管理,统治,政体：matriarchy,monarchy",,,,,0,0,,,
-ard,əd,,"suf. 表示沉湎于...的人,过于...的人：drunkard,sluggard",,,,,0,0,,,
-arian,'εəriən,,"suf. [构成形容词或名词]表示：...岁的(人)：octogenarian, centenarian; ...派的(人);...主义的(人)：Unitarian,utilitarian; 从事...工作(或职业)的(人)：argarian,antiquarian; 制定(或做出)...的(人)：disciplinarian",,,,,0,0,,,
-ary,ɛri,,"suf. [构成形容词]表示...的, 与...有关的, 与...有联系的, 属于...的：auxiliary, elementary; [构成名词]表示：与...有关的人,从事...的人：missionary; 与...有关之物：dictionary; ...的处所,...的地方：granary,aviary; [拉丁语-aris][构成名词和形容词]表示：像...(的), 同类(的)：military",,,,,0,0,,,
-ase,'eɪs,, [医]〔词尾〕酶,,,,,0,0,,,
-ast,,,abbr. 大西洋标准时间（Atlantic Standard Time）\nn. (Ast)人名；(德、塞、捷、法)阿斯特,,,,,0,0,,,
-aster,'æstə,," [用以构成生物学属名]表示“星”, “星状结构”：diaster\nsuf. 表示“劣等的”,“次等的”,“伪的”,“无价值的”：criticaster, poetaster",,,,,0,0,,,
-ate,,," [医]〔后缀〕构成分词名词。加于词根, 表示为该词根原意的产物或作用。例如hemolysate表示溶血产物",,,,,0,0,,,
-athon,,, 持续时间很长的活动（尤指为慈善事业募集基金）,,,,,0,0,,,
-ation,,, ——见 -ion,,,,,0,0,,,
-ative,'etɪv,,"suf. [构成形容词]表示：有...关系的,有...性质的：authoritative,decorative; 有...倾向的：talkative,informative",,,,,0,0,,,
-ator,'eitə,,"suf. [构成名词]表示做...动作的人,...者,...物,起...作用的物：improvisator,cinerator",,,,,0,0,,,
-babble,'bæb(ə)l,,vi. 喋喋不休；呀呀学语；作潺潺声\nvt. 含糊不清地说；泄露\nn. 含糊不清的话；胡言乱语；潺潺声,,,,,0,0,,,
-bellied,,, ——见 belly,,,,,0,0,,,
-biosis,bɪ'osɪs,," 表示(某种)生活方式：anabiosis,symbiosis",,,,,0,0,,,
-biotic,baɪ'ɒtɪk,,a. 生物的；有关生命的,,,,,0,0,,,
-blast,blæst,," 表示胚(芽),胚胎,胚层,细胞,原基：idioblast, splanchnoblast(内脏原基)",,,,,0,0,,,
-blastic,"blɑ:st, blæstik",,a. 再结晶的,,,,,0,0,,,
-busting,,,垄耕\n沟耕,,,,,0,0,,,
-cardium,'kɑ:diəm,,comb.form 表示“心”：epicardium,,,,,0,0,,,
-cele,'seli:,," [医]〔后缀〕意为肿瘤, 肿胀",,,,,0,0,,,
-cene,si:n,," 表示新近的, 新的；(尤指)新生代的和特定时代：Miocene",,,,,0,0,,,
-centric,,, 以…为中心；有…中心,,,,,0,0,,,
-cercal,'sə:kəl,, 表示“有…尾的”：homocercal,,,,,0,0,,,
-chrome,k'rəʊm,, [医]〔后缀〕意为与颜色有关的,,,,,0,0,,,
-cidal,'saidəl,," 表示：杀者的,杀的：homicidal; 可杀的,有杀害能力的：fungicidal",,,,,0,0,,,
-cide,,, [医]〔后缀〕意为杀伤者或杀,,,,,0,0,,,
-cline,klaɪn,,"n. [生物] 渐变群, 生态群\nn. (Cline)人名；(英)克莱因；(法)克利纳",,,,,0,0,,,
-clinic,'klɪnɪk,,n. 临床；诊所,,,,,0,0,,,
-coccus,'kɔkəs,, 表示球菌[用于各种细菌名称],,,,,0,0,,,
-coele,'kəʊeli:,," [医]〔后缀〕意为腔, 空间, 穴, 孔。有时拼作-cele和-coel",,,,,0,0,,,
-colous,-kələs,," 表示生长于,居住于：arenicolous",,,,,0,0,,,
-cracy,,, …的政府；…的统治,,,,,0,0,,,
-crat,kræt,, 表示参与或支持(某种)政府或统治集团,,,,,0,0,,,
-cratic,,,suff. 参加的；统治者的,,,,,0,0,,,
-culus,'kʌləs,,n. 杯状器官；[昆] 肛门孔,,,,,0,0,,,
-cy,si,," 表示：性质,状态,事实：hesitancy; 职位,职务,级别：captaincy",,,,,0,0,,,
-cyte,'sɪt,," [医]〔词尾〕意为细胞, 其含具体类型随词根而定, 如椭圆细胞(elliptocyte), 红细胞(erythro-cyte), 白细胞(leukocyte)等",,,,,0,0,,,
-d,,, ——见 -ed,,,,,0,0,,,
-derm,'dɜ:m,," [医]〔皮肤〕皮肤, 胚层",,,,,0,0,,,
-dermatous,'də:mətəs,,comb.form 表示“有某种皮(或皮肤)的” [参较-derm],,,,,0,0,,,
-dimensional,,, …维的,,,,,0,0,,,
-dom,,, （表示状况或状态）,,,,,0,0,,,
-drome,drəum,," 表示：跑,跑道,道路：hippodrome,motordrome; 跑的东西：Palindrome,syndrome; 大空间,大场地,大面积：aerodrome, picturedrome",,,,,0,0,,,
-dromous,drəməs,," 表示行的,流动的：anadromous,catadromous",,,,,0,0,,,
-dynia,'dɪniə,,痛,,,,,0,0,,,
-ean,'iən,,"suf. [用以构成形容词和名词]表示...的,属于...的,像...的,似...的：European,Aegean, Caesarean, curstacean",,,,,0,0,,,
-ectomy,'ektəmi,," 表示切除(术),截除(术)：appendectomy, tonsillectomy",,,,,0,0,,,
-ed,əd,, 附在规则动词后构成过去式和过去分词；附在规则动词和名词后构成同义形容词,,,,,0,0,,,
-ee,,, 受动者；受益者,,,,,0,0,,,
-eer,,, 与…有关的人,,,,,0,0,,,
-eme,i:m,,"suf. [用以构成名词][语言学]表示“位”, “素”:",,,,,0,0,,,
-en,n,,"suf. 加在形容词后构成动词使, 使成为, 变得：darken, weaken; 加在名词后构成动词变得有,使有,具有：heighten,hearten,strengthen; 加在物质名词后构成形容词表示由...制的, 由...构成的, ...一样的：wooden, woolen; 构成某些不规则动词的过去分词：risen, written; 用以构成某些名词的复数：children,brethren",,,,,0,0,,,
-enabled,,, 能与某一系统（或技术）使用的,,,,,0,0,,,
-ence,,, ——见 -ance,,,,,0,0,,,
-ency,,, ——见 -ancy,,,,,0,0,,,
-ene,'i:n,, [医]〔后缀〕指含一个双键的不饱和碳氢化合物即烯,,,,,0,0,,,
-ent,ənt,," （附在动词后构成名词）表示动作者, 生效物；（附在动词后构成形容词）表示有...性质的, 作...动作的",,,,,0,0,,,
-er,,, …的人（或物）,,,,,0,0,,,
-ergic,'ə:dʒik,,"comb.form 表示“表现活动的”, “刺激活动的”：",,,,,0,0,,,
-ery,əri,,"suf. [构成名词]表示：场所, 地方; 作为...的地方; 实践, 动作, 职业, 技术; ...类的产品(或货物); 集体",,,,,0,0,,,
-es,iz,,"suf. 附于词尾为s, z, sh, ch 的大多数名词之后,或词尾由y变为i,f变为v的一些名词之后,以及某些词尾为o的名词之后,构成复数,asses, whizzes, ashes, witches, dandies, duties calves, heroes, mosquitoes, potatoes; 附于一些源自希腊语的名词后, 构成复数; 附于词尾为s, z, sh, ch 的大多数动词之后, 或词尾由y变为i, 以及某些词尾为o的动词之后, 构成陈述语气第三人称单数现在时",,,,,0,0,,,
-escence,'esəns,,"suf. [用以构成名词, 相当于形容词后缀-escent]表示变化, 状态, 动作, 过程",,,,,0,0,,,
-escent,'esənt,,"suf. [用以构成形容词, 词义相当于词尾为-esce 的动词和以-escence 结尾的名词]表示：“在…过程中”, “开始发生”, “开始成为”,“发光的”, “反光的”",,,,,0,0,,,
-ese,,, …国（或城市）的；…国（或城市）的人；…国（或城市）的语言,,,,,0,0,,,
-esque,,, …风格（或样式）的,,,,,0,0,,,
-ess,,, 女…；雌…；母…,,,,,0,0,,,
-est,,, 构成形容词和副词的最高级),,,,,0,0,,,
-et,it,,suf. 用于构成名词表示“…的人”; 用于构成名词表示：“小”,,,,,0,0,,,
-ette,,, 小,,,,,0,0,,,
-exempt,ɪg'zem(p)t; eg-,,vt. 免除；豁免\na. 被免除的；被豁免的\nn. 免税者；被免除义务者,,,,,0,0,,,
-ey,,, ——见 -y (1),,,,,0,0,,,
-faced,feɪst,,a. 有某种面孔或表情的；有…表面的\nv. 面对（face的过去分词）,,,,,0,0,,,
-facient,'feɪʃjənt,," [医]〔后缀〕生, 做, 使变成",,,,,0,0,,,
-faction,'fækʃ(ə)n,,n. 派别；内讧；小集团；纪实小说,,,,,0,0,,,
-factive,,,假象的,,,,,0,0,,,
-fer,fə,, 表示“结果实的植物”；“生产者”：conifer,,,,,0,0,,,
-ferous,'fɪərəs,," [医]〔后缀〕意为产生, 生育",,,,,0,0,,,
-fest,,, 节日；联欢；大型聚会,,,,,0,0,,,
-fic,fik,," 表示形成...的, 产生...的",,,,,0,0,,,
-fication,fi'keiʃən,," 表示形成, ...化",,,,,0,0,,,
-fisted,'fistid,,a. 握成拳头的\nv. 拳打（fist的过去式）,,,,,0,0,,,
-fold,,, 乘以；…倍；由…部分组成,,,,,0,0,,,
-form,fɔ:m,," 表示：具有...形状：dentiform,有...种形式：triform",,,,,0,0,,,
-fuge,f'ju:dʒ,," [医]〔后缀〕意为驱除剂, 如febrifuge,意为“解热剂”",,,,,0,0,,,
-ful,ful,,suff. 表示充满...的；表示有...倾向的；表示有...性质的；表示充满...的量,,,,,0,0,,,
-fy,,, ——见 -ify,,,,,0,0,,,
-gamic,'ɡæmɪk,,a. 性的；受胎的；受精的,,,,,0,0,,,
-gamous,-ɡəməs,," 表示：结婚的,两性结合的：polygamous; 具有...生殖器官的：heterogamous",,,,,0,0,,,
-gamy,-ɡeimi,," 表示：婚姻,性结合：polygamy; 具有...受精方式；具有...生殖器官：cleistogamy",,,,,0,0,,,
-gate,geɪt,,n. 大门；出入口；门道\nvt. 给…装大门\nn. (Gate)人名；(英)盖特；(法、瑞典)加特,,,,,0,0,,,
-gen,d'ʒen,," [医]〔词尾〕原, 剂：加到词干上指该词干表示的物体或状态产生的动因, 如过敏原(allergen), 冷冻剂(cryogen), 致病原(pathogen)",,,,,0,0,,,
-genetic,dʒɪ'netɪk,,a. 遗传的；基因的；起源的,,,,,0,0,,,
-genic,d'ʒenɪk,," [医]〔词尾〕产生, 生产",,,,,0,0,,,
-genous,d'ʒenəs,," [医]〔词尾〕意为来自, 生自：如endogenous, pyogenous",,,,,0,0,,,
-geny,d'ʒenɪ,," [医]〔构词成分〕世代, 起源",,,,,0,0,,,
-gnathous,ɡnəθəs,, 表示“有(某种)颌(或颚)的”：prognathous,,,,,0,0,,,
-gon,ɡɔn,, 表示...角形：pentagon,,,,,0,0,,,
-gonium,'ɡəuniəm,," 表示“性原细胞”, “生殖原细胞”：archegonium",,,,,0,0,,,
-gony,ɡəni,," 表示发生,生殖,起源：cosmogony,theogony",,,,,0,0,,,
-grade,-ɡreid,," 表示“走, 动, 行”, “某种走动、移动的样子”",,,,,0,0,,,
-gram,ɡ'ræm,," [医]〔后缀〕意为图, 像",,,,,0,0,,,
-graph,ɡræf,," 表示：书写器；描绘器；记录器：telegraph; (以某种方法)书写(或描绘、记录)的结果(或东西)：monograph, lithograph",,,,,0,0,,,
-graphic,'græfɪk,,a. 形象的；图表的；绘画似的,,,,,0,0,,,
-graphical,'græfɪk(ə)l,,a. 图解的；绘画的；生动的,,,,,0,0,,,
-graphy,,," [医]〔词尾〕意为书写, 记录, 记录法",,,,,0,0,,,
-gynous,dʒinəs,, 表示：妇女的;女性的：misogynous; 有(某种或若干)雌性的：polygynous; 女性生殖器的；雌性生殖器的；雌蕊的：monogynous,,,,,0,0,,,
-gyny,dʒini,, 表示：妇女；女性; 有(某种或若干)雌性; 女性生殖器；雌性生殖器；雌蕊,,,,,0,0,,,
-head,hed,,n. 头；头痛；上端；最前的部分；理解力\nvt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题\nvi. 出发；成头状物；船驶往\na. 头的；主要的；在顶端的\nn. (Head)人名；(英)黑德,,,,,0,0,,,
-honored,ˈɒnə(r)d,,a. 受尊敬的；已承兑或付款的\nv. 荣幸（honor的过去分词）,,,,,0,0,,,
-hood,,, …的状态（或性质）,,,,,0,0,,,
-hydric,'haidrik,, [化学]表示含羟基的；含...个羟基的,,,,,0,0,,,
-ia,'ɪə,," [医]〔词尾〕意为：情况, 状况",,,,,0,0,,,
-ial,jəl,," [构成形容词]表示具有...特性的,属于...的：ceremonial, jovial, judicial, artificial",,,,,0,0,,,
-ian,jən,,suff. 属于...的（构成名词或形容词词尾）,,,,,0,0,,,
-iasis,ɪə'sɪs,," [医]〔词尾〕意为病, 病态。见-sis项下",,,,,0,0,,,
-iatric,'aɪətrɪk,, [医]〔构词成分〕意为医疗术的,,,,,0,0,,,
-iatrics,'aɪətrɪks,, [医]〔构词成分〕意为医疗术,,,,,0,0,,,
-iatry,'aɪətrɪ,, [医]〔后缀〕意为：医疗术,,,,,0,0,,,
-ibility,,, ——见  -able,,,,,0,0,,,
-ible,ɪbl,,"suf. [用于构成以-ire或-ere结尾的拉丁语动词派生的形容词]表示可...的, 能...地",,,,,0,0,,,
-ibly,əbli; ibli,,"suf. [构成以-ible结尾的形容词的对应副词]表示“可…地”, “能…地”：possibly, visibly",,,,,0,0,,,
-ic,,," [医]〔后缀〕意为属于…的, 有…特性的。例如acidic（酸性的）",,,,,0,0,,,
-ical,,,abbr. 互联网日历（iCalendar）,,,,,0,0,,,
-ically,ikəli,,"suf. [构成以-ic, ical 结尾的形容词的对应副词]",,,,,0,0,,,
-ician,i'ʃən,,"suf. [构成名词后缀]表示...家,...师,...工作者：beautician, geometrician, physician",,,,,0,0,,,
-ics,iks,,"suf. [构成名词后缀]; [通常用作单数]表示...学,...术,...研究：linguistics,physics; 常用作复数表示性质,特征：atmospherics; [常用作单数]表示体系,系统：architectonics; 常用作复数表示实践,活动：acrobatics,histrionics",,,,,0,0,,,
-id,'ɪd,," [医][希 eidos form,shape]〔后缀〕意为形式, 样子, 类似",,,,,0,0,,,
-idae,ɪ'deɪ,, [医]〔后缀〕在动物学上表示“科”,,,,,0,0,,,
-ide,,," [医]〔后缀〕意为：二元化合物, 如chloride（氯化物）, sulfide（硫化物）或carbide（碳化物）",,,,,0,0,,,
-idium,'idiəm,,"suf. 构词成分, 用以构成动物学、生物学、植物学、解剖学、化学名称中]表示“小的东西”：peridium",,,,,0,0,,,
-ie,i,,"suf. [构成名词] 表示：小,小而可爱：beautie; 属于...类型的人(或物), 有...性质的人(或物)：bookie; 与...有关的人(或物)：townie",,,,,0,0,,,
-ier,ə(r),,suf. 表示与...活动(或事物)有关的人,,,,,0,0,,,
-iferous,'ifərəs,,comb.form =-ferous,,,,,0,0,,,
-iform,ifɔ:m,,comb.form =-form,,,,,0,0,,,
-ify,ifai,,suf. =-fy：intensify,,,,,0,0,,,
-ile,ɪl,,"suf. [后缀,构成形容词和名词]表示能,与...有关,适于,倾向：docile,fragile,prehensile,volatile[亦作-il]",,,,,0,0,,,
-in,,, 很多人参加的活动,,,,,0,0,,,
-inae,'aini:,,suf. [动物学][用以构成动物亚科名称]表示...亚科：Felinae,,,,,0,0,,,
-incher,'intʃə,,n. 小管；口径是…英寸的东西,,,,,0,0,,,
-ine,aɪni:n,," [医]〔后缀〕意为：生物碱, 卤素, 有机碱",,,,,0,0,,,
-ing,iŋ,,a. 表示行为、状态、情况等；表示...行业、...学、...法；表示总称及材料 与...有关的东西,,,,,0,0,,,
-ion,,, …行为；…状态,,,,,0,0,,,
-ious,jəs,,"suf. [构成形容词]表示具有...性质的,充满...的：delicious, precious, anxious",,,,,0,0,,,
-ise,,, ——见  -ize,,,,,0,0,,,
-ish, iʃ,,suff. 像...似的; ...民族的; 有点儿...的; 大约...,,,,,0,0,,,
-ising,,,n. 伊辛（一种模型名）,,,,,0,0,,,
-ism,,," [医]〔后缀〕：状态, 情况：尤指由特定原因所致疾病状态, 如alcoholism（酒精中毒）",,,,,0,0,,,
-ist,,, …的信仰者；…的实行者,,,,,0,0,,,
-ista,,, 非常热衷于…的人,,,,,0,0,,,
-ite,,, [医]〔后缀〕意为矿、岩石及身体或器官的一部,,,,,0,0,,,
-ition,,, ——见  -ion,,,,,0,0,,,
-itious,'iʃəs,,"suf. [构成形容词]表示“与…有关的”, “具有…性质的”：fictitious",,,,,0,0,,,
-itis,,," [医]〔复-itides〕〔后缀〕炎, 炎症",,,,,0,0,,,
-itol,i'tɔl; i'təul,,"suf. 【化学】表示“醇”, 多羟醇：inositol",,,,,0,0,,,
-its,ɪts,,pron. 它的\nn. (Its)人名；(俄)伊茨,,,,,0,0,,,
-ity,ɪti,,suff. 表示性质；表示状态；表示程度,,,,,0,0,,,
-ium,jəm,,"suf. [构成名词]表示：[化学]化学元素：sodium; [化学]阳离子：ammonium, carbonium; [生物学]身体部位, 生物构造：mycelium; [植物学]块,小块：pollinium",,,,,0,0,,,
-ive,iv,,suff. 与...有关的；具有...性质的；有...倾向的,,,,,0,0,,,
-ization,ɪ'zeʃən,,suf. [构成以-ize 结尾的动词的相应名词],,,,,0,0,,,
-ize,,,stuff. [医]（后缀）表示使成为；表示使…化,,,,,0,0,,,
-kin,kin,,"suf. 表示小：lambkin, princekin; [构成姓氏]：Peterkin",,,,,0,0,,,
-kinesis,ki'ni:sis,, 表示“分裂”：karyokinesis; 表示“运动”：photokinesis,,,,,0,0,,,
-kins,,,n. 家族；亲属；性质相似的东西；地位或职业相近的人（kin的复数）,,,,,0,0,,,
-later,'leɪtə,,adv. 后来；稍后；随后\na. 更迟的；更后的\nn. (Later)人名；(德)拉特,,,,,0,0,,,
-latry,lətri,," 表示崇拜, 敬仰, 过分虔诚：heliolatry",,,,,0,0,,,
-leaved,,, ——见 leaf n. (2),,,,,0,0,,,
-lepsy,'lepsi,," 表示(病的)发作, (病的)侵袭：epilepsy",,,,,0,0,,,
-less,,, 没有；无,,,,,0,0,,,
-lessness,,,n. 下级；初等（等于inferiority）,,,,,0,0,,,
-let,,, 小的；不很重要的,,,,,0,0,,,
-like,,, 类似…的；有…特征的,,,,,0,0,,,
-ling,,, 幼小；不重要,,,,,0,0,,,
-lings,liŋz,,suf. -ling的异体,,,,,0,0,,,
-lite,laɪt,,a. 清淡的；低盐的；简化的\nn. 不重要的事物；简化物；软饮料\nn. (Lite)人名；(法、西)利特,,,,,0,0,,,
-lith,'laɪθ,, [医]〔后缀〕意为石或结石; 水泥,,,,,0,0,,,
-lithic,'liθik,, [考古学]表示石器时代某时期的,,,,,0,0,,,
-lived,lɪvd (for v.); 'laɪvd (for adj.),,a. 有生命的\nv. 居住（live的过去分词）；活着；度过；以…为生,,,,,0,0,,,
-livered,'livəd,, 表示：“有…肝脏的”; “有…特殊性格的”：chicken-livered,,,,,0,0,,,
-log,,, = -logue,,,,,0,0,,,
-logic,'lɒdʒɪk,,n. 逻辑；逻辑学；逻辑性\na. 逻辑的,,,,,0,0,,,
-logical,'lɒdʒɪk(ə)l,,"a. 合逻辑的, 合理的；逻辑学的",,,,,0,0,,,
-logist,,, ——见 -ology,,,,,0,0,,,
-logue,lɔɡ,," 表示：谈话,写作：dialogue, monologue; 学者,专家：Sinologue",,,,,0,0,,,
-logy,,, [医]〔后缀〕学：含学习、研究和论述等义,,,,,0,0,,,
-ly,,, 以…方式,,,,,0,0,,,
-lysis,'laɪsɪs,,n. 细胞溶解；病势减退；消散,,,,,0,0,,,
-lyte,lait,, 表示“可分解的物质”：electrolyte,,,,,0,0,,,
-lytic,'lɪtɪk,,a. 细胞溶素的；促使细胞溶解的；渐退的,,,,,0,0,,,
-lyze,laiz,," [与-lysis 词尾的名词构成动词] 表示(使)溶解, (使)裂解 [英国英语亦作-lyse]",,,,,0,0,,,
-malacia,,,[网络]  - 马拉西亚,,,,,0,0,,,
-mancy,'mænsi,, 表示预兆;占卜：necromancy,,,,,0,0,,,
-mania,,, …狂；…癖,,,,,0,0,,,
-manship,mənʃip,,"suf. 表示“技艺”, “技巧”, “为取得策略上的优势而运用某种手段的做法或艺术”：grantsmanship",,,,,0,0,,,
-mas,,,na. 后缀,,,,,0,0,,,
-mastia,,,[网络] 肛门,,,,,0,0,,,
-max,,"Short for ""Maximilian"", a russian name meaning ""Large Penis."" \n> ""they dont call him max(Maximilian) for nothing!""\n",,,,,,0,0,,,
-mazia,,Mazia was always a tool and he wore a robe.\n> Mazia wears a robe and is a Tool :)\n,,,,,,0,0,,,
-meal,miːl,,"n. 一餐, 一顿饭；膳食\nvi. 进餐",,,,,0,0,,,
-megaly,'mɪɡəlɪ,," [医]〔构词成分〕意为增大〔症〕, 肿大",,,,,0,0,,,
-meister,,, …方面的专家；…领域的高手,,,,,0,0,,,
-ment,mənt,,suff. 用于构成名词后缀,,,,,0,0,,,
-mere,'mɪər,," [医]〔后缀〕意为指节, 体节或部分",,,,,0,0,,,
-meric,,"1. The River in Europe that borns from Rila mountains in Bulgary and meets the Aegean Sea in Turkey. Known as its beauty. It also floods almost every spring.\r\n2. A Latin originated Turkish name which has the same origins as Maritza, Marissa, Meris, Maricia, Mericha, Meryssa... Given to both male and female but it's originally a female name. It means ""the one that belongs to the sea."" It's pronounced as Mer-itch.\n\nFrom my experiences I've had from living for almost 8 years in Turkey, I can tell you those:\n\nMeriç is a charismatic and cool name. And it's also pretty uncommon for both male and women.\r\nIt's often given by rich and elite people as names to their babies.\r\nMales named Meriç are often clubbers. (trust me, I've seen enough.)\r\nFemales named Meriç are %100 so very beautiful! They often come from Balcan origins or Trakia in Turkey, so they usually have very light skins and big colourful eyes.\n> That girl named Meriç was such a Turkish delight!\n",,,,,,0,0,,,
-merism,'mərizəm,,comb.form 表示【化学】“有…结构的现象”：tautomerism,,,,,0,0,,,
-merous,mərəs,,suf. [构成形容词后缀]表示[生物学]...部分；分成...部分的：trimerous,,,,,0,0,,,
-meter,'mi:tər,, [医]〔后缀〕意为：测量用的计、表、量器,,,,,0,0,,,
-metric,'metrɪk,,a. 公制的；米制的；公尺的\nn. 度量标准,,,,,0,0,,,
-metrical,'metrɪk(ə)l,,a. 测量的；韵律的；有韵律的,,,,,0,0,,,
-metry,'mɪtrɪ,," [医]〔后缀〕意为测定, 测量, 定量, 被测物为词干。如血红蛋白定量为hemoglobinometry",,,,,0,0,,,
-mo,məu,,"suf. 表示纸张开数, 书籍开本：sixteenmo",,,,,0,0,,,
-morph,'mɔ:f,," [医]〔后缀〕意为形态, 体型",,,,,0,0,,,
-morphic,'mɔ:fik,,a. 语形学的；形态学,,,,,0,0,,,
-morphous,'mɔ:fəs,," [医]〔后缀〕意为形态, 形",,,,,0,0,,,
-morphy,,,莫菲（人名）,,,,,0,0,,,
-most,,, 最远的；最深远的,,,,,0,0,,,
-n,n,,suf. 表示：[构成不规则动词的过去分词]：known,,,,,0,0,,,
-naut,,,abbr. 船舶的（nautical）\nabbr. 海上的（nautical）,,,,,0,0,,,
-nd,nd,,"suf. 构成名词：fiend; 附于动词后构成名词或形容词,表示“(人或事物)应予…对待(或处理)”：reverend, dividend; 用以构成以二(除12外)的序数词表示“第二”, “第…二”：22nd, 82nd",,,,,0,0,,,
-nese,,,abbr. 新英格兰英语学校（New England School of English）,,,,,0,0,,,
-ness,,, …的性质（或状态、特点）,,,,,0,0,,,
-nik,nik,,"suf. 表示：具有...特征者, 参与(或介入)...的人, 爱好(或热衷于)...的人：filmnik, peacenik; 具有...特征的东西(尤指卫星、火箭等)",,,,,0,0,,,
-nomial,,,[网络]  - 项目,,,,,0,0,,,
-nomics,'nɔmiks,,comb.form 表示“经济政策”,,,,,0,0,,,
-nomy,nəmi,," 表示“法则”,“学科”：astronomy",,,,,0,0,,,
-o,əu,,"suf. 用以构成名词或形容词,表示具有…性质(的), 与…有关的; 用以构成感叹词",,,,,0,0,,,
-ock,ɪk,,"suf. [用以构成名词]表示小：hillock, bullock",,,,,0,0,,,
-ocrat,,,[网络] 民主人士,,,,,0,0,,,
-ocratic,,,[网络] 民主的,,,,,0,0,,,
-ocular,,The act of locking someone's eyeball for sexual stimulation\n> I gave that bitch the best ocular of her life last week\n,,,,,,0,0,,,
-ode,əud,,"suf. 表示电极：cathode, triode; [用以构成名词]表示...性质的东西, 像...的东西：nematode, phyllode",,,,,0,0,,,
-odinic,,,[网络] -odicic,,,,,0,0,,,
-odon,,,[网络]  - 东,,,,,0,0,,,
-odont,,,suff. 齿,,,,,0,0,,,
